Name,Amenity,geometry,Competitor
Poonagala Pharmacy,pharmacy,POINT(81.0458519 6.7822676),Pharmacy
Misriswatta Ayurveda Production Centre,pharmacy,POINT(81.0327502 6.7109076),Pharmacy
M.G.LUXIMY PHARMACY,pharmacy,POINT(81.0178369 6.7431234),Pharmacy
Gayani Pharmacy,pharmacy,POINT(81.0044906 7.1703907),Pharmacy
Chamara Pharmacy,pharmacy,POINT(81.154076 7.0772039),Pharmacy
farmacy,pharmacy,POINT(81.0183918 7.4687767),Pharmacy
Methsilu Pharmacy,pharmacy,POINT(80.9939131 7.3411402),Pharmacy
Toraana Pharmacy,pharmacy,POINT(81.0174917 7.4629169),Pharmacy
SUNCARE PHARMACY,pharmacy,POINT(80.9976546 7.3394043),Pharmacy
Tharani Pharmacy,pharmacy,POINT(80.9924387 7.3394807),Pharmacy
New city medicals,pharmacy,POINT(80.992608 7.3385453),Pharmacy
Prasanna Pharmacy,pharmacy,POINT(80.9924236 7.3383239),Pharmacy
Mahiyangana Pharmacy,pharmacy,POINT(80.9916128 7.3292918),Pharmacy
Induwara Pharmacy,pharmacy,POINT(81.0478156 7.1375606),Pharmacy
Reegal Pharmacy,pharmacy,POINT(81.1570165 6.9353385),Pharmacy
Dj Pharmacy,pharmacy,POINT(81.1526976 6.9349088),Pharmacy
Calisto Pharmacy,pharmacy,POINT(81.1523718 6.9349732),Pharmacy
Suwan Pharmacy,pharmacy,POINT(80.9252554 6.9552623),Pharmacy
Himbiliyagaha Madiththa Pharmacy,pharmacy,POINT(80.889752 6.9384895),Pharmacy
Fc 4Ne Kadhe,pharmacy,POINT(80.9103438 6.9056619),Pharmacy
Renuza Pharmacy,pharmacy,POINT(80.9109237 6.9052847),Pharmacy
Kumara Pharmacy,pharmacy,POINT(80.875501 6.8613299),Pharmacy
Central Pharmacy Boragas,pharmacy,POINT(80.8405054 6.9080548),Pharmacy
Mandala Distributors,pharmacy,POINT(80.90595 6.9033075),Pharmacy
Lanka Medicals,pharmacy,POINT(80.8314643 6.9166169),Pharmacy
New Lakjana Pharmacy and Grocery,pharmacy,POINT(80.9436048 6.8685286),Pharmacy
Bow Bow's,pharmacy,POINT(81.5894824 7.7861202),Pharmacy
Medicap pharmaceuticals,pharmacy,POINT(79.8750639 6.9261163),Pharmacy
Chathusanda Pharmacy,pharmacy,POINT(79.8723001 6.924976),Pharmacy
à¶¯à¶»à·à·à¶± à·à·à¶à·à¶½ à¶¶à·à·à·à¶­à· à·à·à·à¶³ à·à·à¶½,pharmacy,POINT(79.8778271 6.9298152),Pharmacy
The Drug House,pharmacy,POINT(79.877305 6.9304587),Pharmacy
Safeway Pharmacy,pharmacy,POINT(79.8775175 6.9305499),Pharmacy
Osara pharmacy & grocery,pharmacy,POINT(79.8716705 6.9216274),Pharmacy
Singhe Pharmacy,pharmacy,POINT(79.8717749 6.9209248),Pharmacy
United Pharmacy,pharmacy,POINT(79.8713538 6.9300388),Pharmacy
Alpha Medicals,pharmacy,POINT(79.8781988 6.9311577),Pharmacy
New Colombo Pharmacy,pharmacy,POINT(79.8798324 6.9302585),Pharmacy
Siri Medical Stores,pharmacy,POINT(79.8693724 6.9228982),Pharmacy
Westen Pharmacy,pharmacy,POINT(79.8782523 6.9317802),Pharmacy
Asian Pharmacy,pharmacy,POINT(79.8692352 6.9295063),Pharmacy
Royal Pharmacy,pharmacy,POINT(79.8701153 6.9314545),Pharmacy
Full moon pharmacy,pharmacy,POINT(79.8758703 6.9166466),Pharmacy
Kotahena Medical,pharmacy,POINT(79.8750085 6.939313),Pharmacy
New lanka osusala,pharmacy,POINT(79.86332 6.9329398),Pharmacy
S.K. Pharmacy,pharmacy,POINT(79.8660967 6.9271696),Pharmacy
Maradana lanka pharmacy,pharmacy,POINT(79.8651989 6.9270551),Pharmacy
QTRW Pharmacy,pharmacy,POINT(79.8466416 6.9362775),Pharmacy
Swiss Pharmacy,pharmacy,POINT(79.8437143 6.9346753),Pharmacy
Baddegama Stores,pharmacy,POINT(79.8499084 6.934476),Pharmacy
Nawaloka Care Pharmacy - WTC,pharmacy,POINT(79.843709 6.9378071),Pharmacy
State Pharmaceuticals Corporation Pharmacy,pharmacy,POINT(79.8507202 6.9340366),Pharmacy
Apple Pharmacy,pharmacy,POINT(79.8507645 6.9343752),Pharmacy
State auverdic corporation outlet,pharmacy,POINT(79.8509046 6.933685),Pharmacy
Niyon Medical,pharmacy,POINT(79.8510906 6.9384726),Pharmacy
Thai Cosmetics,pharmacy,POINT(79.8520489 6.9374583),Pharmacy
Madanayake Pharmacy,pharmacy,POINT(79.8528193 6.9350383),Pharmacy
Pharmacy,pharmacy,POINT(79.8515531 6.9386531),Pharmacy
Healthguard Pharmacy - One Galle Face,pharmacy,POINT(79.844504 6.9271726),Pharmacy
Lanka Hospitals,pharmacy,POINT(79.8450202 6.9270675),Pharmacy
J,pharmacy,POINT(79.8542313 6.9356378),Pharmacy
Union Chemists,pharmacy,POINT(79.8749079 6.9823206),Pharmacy
New Orchird Pharmacy,pharmacy,POINT(79.8766545 6.975945),Pharmacy
Sun Pharmacy,pharmacy,POINT(79.8749222 6.9725977),Pharmacy
MRM MEDICCOM,pharmacy,POINT(79.8729397 6.9718059),Pharmacy
B'Healthy chemist,pharmacy,POINT(79.8718726 6.9707999),Pharmacy
Sharon Pharmacy & Groceries,pharmacy,POINT(79.8781446 6.972638),Pharmacy
